category,taste_level,service_level,name,level,price,env_level,lon,comments,shop_id,address,lat,tags,open_time
深圳餐厅|南头|海鲜,8.6,7.7,邻海体验式海鲜主题餐厅(南山店),四星商户,148,7.8,113.922375,1172条评论,22179671,金鸡路1号圣淘沙酒店裙楼二楼(南山图书馆左侧),22.533967,回头客(41)|海鲜棒(32)|肉类好(11)|味道赞(141)|菜品不错(15)|服务热情(123)|分量足(9)|环境优雅(38)|朋友聚餐(4)|家庭聚餐(3),午餐11:00-14:00，晚餐17:00-21:00 11:00-21:00 周一至周日
深圳餐厅|白石洲|火锅|牛肉火锅,8.9,8.3,汕头八合里海记牛肉店(沙河街店),准五星商户,83,8.0,113.96842,150条评论,69217794,沙河街108号白石洲美食城(一号线白石洲站A出口直行),22.5457,回头客(13)|上菜快(3)|牛肉赞(12)|味道赞(16)|服务热情(15)|环境优雅(4)|性价比高(3)|体验好(3)|火锅(15),尚无营业时间
深圳餐厅|南油|火锅|牛肉火锅,8.8,8.5,潮汕大目牛肉火锅城(南山店),准五星商户,82,9.1,113.920787,133条评论,67703855,南山大道南园枫叶公寓一楼(枫叶国际广场一楼，枫叶大厦旁边),22.516103,回头客(5)|牛肉赞(12)|高大上(3)|味道赞(13)|环境优雅(7)|服务热情(13)|体验好(4)|火锅(11)|午餐(3),0:00-3:30 周一至周日; 11:00-0:00 周一至周日
深圳餐厅|南头|火锅,8.8,9.1,米斯泰音乐餐吧,五星商户,115,9.2,113.926202,481条评论,43345236,桃园路桃园地铁站A出口，田厦国际中心A栋2楼，柠檬音乐餐厅往里3米，顺品甜品旁(柠檬音乐餐厅、顺品甜品旁),22.533204,回头客(12)|约会圣地(5)|有表演(4)|上菜快(3)|海鲜棒(12)|肉类好(20)|主食赞(4)|分量足(27)|菜品不错(28)|味道赞(84),11:00-02:00 周一至周日
深圳餐厅|科技园|火锅|牛肉火锅,9.0,8.9,原牛道牛肉火锅(海王银河店),五星商户,120,9.1,113.94146,819条评论,27527380,科技中三路海王银河大厦2楼,22.54075,回头客(39)|约会圣地(4)|牛肉赞(88)|高大上(5)|味道赞(106)|环境优雅(118)|菜品不错(18)|服务热情(84)|朋友聚餐(7),午市，晚市 11:30-21:30 周一至周日
深圳餐厅|华侨城|火锅,9.0,8.3,润园四季椰子鸡(华侨城创意园店),准五星商户,105,9.1,113.992132,1527条评论,7994651,香山东街与汕头街交界处东部市场4楼,22.538301,回头客(74)|约会圣地(11)|上菜快(5)|肉类好(68)|分量足(18)|味道赞(182)|环境优雅(205)|菜品不错(24)|请客(12)|朋友聚餐(9),11:00-22:30
深圳餐厅|南油|火锅,8.9,9.2,跳墙(南山枫叶店),五星商户,166,9.1,113.921131,270条评论,58257754,南山街道南山大道枫叶国际广场内(一楼11号铺),22.516391,回头客(5)|肉类好(52)|高大上(5)|菜品不错(8)|分量足(6)|味道赞(54)|服务热情(67)|环境优雅(22)|体验好(7)|闺蜜聚会(3),午市晚市 10:30-21:30 周一至周日
深圳餐厅|南山区|火锅|牛肉火锅,8.8,7.7,汕头八合里海记牛肉店(海岸城店),四星商户,78,8.1,113.936506,129条评论,69489452,海德三道19号，海岸大厦西座301A-302A,22.518248,回头客(13)|牛肉赞(10)|服务热情(15)|环境优雅(10)|味道赞(8)|性价比高(3)|火锅(12)|午餐(10)|分量少(3),尚无营业时间
深圳餐厅|南头|火锅,9.1,9.2,邂逅椰子鸡,五星商户,111,9.2,113.915616,106条评论,67624738,前海路大新前海商业中心208(大新地铁口A出口，原雨花西餐厅),22.532913,回头客(3)|肉类好(6)|分量足(3)|味道赞(18)|环境优雅(13)|服务热情(21)|椰子鸡(43)|煲仔饭(17)|火锅(8),10:30-00:00 周一至周日
深圳餐厅|南油|火锅,9.0,9.2,海底捞火锅(汉京大厦店),五星商户,113,9.1,113.924326,1147条评论,8039239,登良路23号汉京国际2/3楼海底捞,22.511467,回头客(101)|上菜快(7)|约会圣地(3)|海鲜棒(3)|菜品不错(44)|饮品赞(7)|味道赞(132)|点心好(6)|服务热情(443)|环境优雅(50),24小时
